source,title,content,language,collected_at,clean_content,tokens
VNExpress,Bé trai chồng bệnh tay chân miệng - viêm da cơ địa,"TP HCMBé Bình, 18 tháng tuổi, mắc đồng thời bệnh tay chân miệng và viêm da cơ địa bội nhiễm, xuất hiện cơn sốt cao dẫn đến co giật.",vi,2026-01-16 22:11:16.080392,tp hcmbé bình tháng tuổi mắc đồng thời bệnh tay chân miệng và viêm da cơ địa bội nhiễm xuất hiện cơn sốt cao dẫn đến co giật,tp hcmbé_bình tháng tuổi mắc đồng_thời bệnh tay_chân miệng và viêm da cơ_địa bội_nhiễm xuất_hiện cơn_sốt cao dẫn đến co_giật
VNExpress,Vì sao người lớn mắc bệnh thủy đậu có thể biến chứng nặng?,"Người lớn nhiễm thủy đậu có thể gặp biến chứng như viêm phổi, suy hô hấp do hệ miễn dịch suy giảm, điều trị sai cách hoặc có bệnh mạn tính.",vi,2026-01-16 22:11:16.080420,người lớn nhiễm thủy đậu có thể gặp biến chứng như viêm phổi suy hô hấp do hệ miễn dịch suy giảm điều trị sai cách hoặc có bệnh mạn tính,người_lớn nhiễm thủy đậu có_thể gặp biến_chứng như viêm phổi suy hô_hấp do hệ miễn_dịch suy_giảm điều_trị sai cách hoặc có bệnh mạn tính
VNExpress,Bị viêm tai giữa dùng tai nghe có hại không?,"Tôi bị viêm tai giữa nhưng do công việc cần dùng tai nghe. Bị viêm tai giữa dùng tai nghe có hại gì không, nên dùng như thế nào cho an toàn? (Trang Mai, 25 tuổi, TP HCM)",vi,2026-01-16 22:11:16.080447,tôi bị viêm tai giữa nhưng do công việc cần dùng tai nghe bị viêm tai giữa dùng tai nghe có hại gì không nên dùng như thế nào cho an toàn trang mai tuổi tp hcm,tôi bị viêm tai giữa nhưng do công_việc cần dùng tai nghe bị viêm tai giữa dùng tai nghe có hại gì không nên dùng như_thế_nào cho an_toàn trang_mai tuổi tp hcm
VNExpress,Nước nào có số mèo vượt quá số dân?,"Dân số ở đảo quốc này chỉ khoảng 1,3 triệu, nhưng số mèo đã lên tới 1,5 triệu từ 8 năm trước, gây khủng hoảng về quản lý cho chính quyền.",vi,2026-01-16 22:11:18.220533,dân số ở đảo quốc này chỉ khoảng triệu nhưng số mèo đã lên tới triệu từ năm trước gây khủng hoảng về quản lý cho chính quyền,dân_số ở đảo_quốc này chỉ khoảng triệu nhưng số mèo đã lên tới triệu từ năm trước gây khủng_hoảng về quản_lý cho chính_quyền
VNExpress,Du học sinh Việt vi phạm thị thực ở Hàn Quốc tăng vọt,"Cứ 10 du học sinh ở lại trái phép hoặc làm quá giờ quy định ở Hàn Quốc thì có 7-9 người Việt, tăng vọt trong 10 năm qua.",vi,2026-01-16 22:11:18.220562,cứ du học sinh ở lại trái phép hoặc làm quá giờ quy định ở hàn quốc thì có người việt tăng vọt trong năm qua,cứ du_học_sinh ở lại trái_phép hoặc làm quá giờ quy_định ở hàn_quốc thì có người việt tăng vọt trong năm qua
VNExpress,FPTU mở quỹ học bổng hơn 200 tỷ đồng tìm kiếm tài năng kỷ nguyên số,Trường ĐH FPT (FPTU) triển khai Quỹ học bổng hơn 200 tỷ đồng với 1.030 suất dành cho học sinh lớp 12 toàn quốc nhằm hỗ trợ tài năng trong lĩnh vực công nghệ.,vi,2026-01-16 22:11:18.220587,trường đh fpt fptu triển khai quỹ học bổng hơn tỷ đồng với suất dành cho học sinh lớp toàn quốc nhằm hỗ trợ tài năng trong lĩnh vực công nghệ,trường đh fpt fptu triển_khai quỹ học_bổng hơn tỷ đồng với suất dành cho học_sinh lớp toàn_quốc nhằm hỗ_trợ tài_năng trong lĩnh_vực công_nghệ
VNExpress,Sơn La rút phương án thi lớp 10 với tổ hợp 6 môn,"Dù đánh giá thi tổ hợp vào lớp 10 là cần thiết, Sở Giáo dục Sơn La rút lại đề xuất do ""chưa nhận được đồng thuận"" của xã hội.",vi,2026-01-16 22:11:18.220609,dù đánh giá thi tổ hợp vào lớp là cần thiết sở giáo dục sơn la rút lại đề xuất do chưa nhận được đồng thuận của xã hội,dù đánh_giá thi tổ_hợp vào lớp là cần_thiết_sở giáo_dục sơn_la rút lại đề_xuất do chưa nhận được đồng_thuận của xã_hội
VNExpress,VinFast cùng 30 trường chuẩn hóa chương trình đào tạo kỹ sư ôtô điện,"VinFast hợp tác với 30 trường đại học, cao đẳng chuyên ngành kỹ thuật nhằm chuẩn hóa chương trình, giáo trình trong lĩnh vực sản xuất và sửa chữa ô tô điện.",vi,2026-01-16 22:11:18.220632,vinfast hợp tác với trường đại học cao đẳng chuyên ngành kỹ thuật nhằm chuẩn hóa chương trình giáo trình trong lĩnh vực sản xuất và sửa chữa ô tô điện,vinfast hợp_tác với trường đại_học cao_đẳng chuyên_ngành kỹ_thuật nhằm chuẩn_hóa chương_trình giáo_trình trong lĩnh_vực sản_xuất và sửa_chữa ô_tô điện
VNExpress,"Người mẹ 'sững người' khi hỏi con lý do chỉ được 9,75 điểm Toán","Nhận tin con đạt 9,75 điểm Toán, thay vì khen ngợi, chị Tú hỏi ngay về 0,25 điểm bị mất, câu trả lời của con gái khiến chị ""sững người""",vi,2026-01-16 22:11:18.220655,nhận tin con đạt điểm toán thay vì khen ngợi chị tú hỏi ngay về điểm bị mất câu trả lời của con gái khiến chị sững người,nhận tin con đạt điểm_toán thay_vì khen_ngợi chị tú hỏi ngay về điểm bị mất câu trả_lời của con gái khiến chị sững người
VNExpress,Nhiều nhân viên trường học nguy cơ mất việc,"Nghệ AnSau nhiều năm làm hợp đồng, 5 nhân viên trường học ở xã Lam Thành mất việc, do vướng mắc kinh phí sau khi chuyển từ cấp huyện về xã.",vi,2026-01-16 22:11:18.220698,nghệ ansau nhiều năm làm hợp đồng nhân viên trường học ở xã lam thành mất việc do vướng mắc kinh phí sau khi chuyển từ cấp huyện về xã,nghệ ansau nhiều năm làm hợp_đồng nhân_viên trường_học ở xã lam_thành mất việc do vướng_mắc kinh_phí sau khi chuyển từ cấp huyện về xã
VNExpress,Đề tham khảo thi đánh giá năng lực Đại học Sư phạm Hà Nội,Trường Đại học Sư phạm Hà Nội (HNUE) công bố đề tham khảo và đáp án 12 môn thi đánh giá năng lực SPT năm 2026 để thí sinh ôn tập.,vi,2026-01-16 22:11:18.220725,trường đại học sư phạm hà nội hnue công bố đề tham khảo và đáp án môn thi đánh giá năng lực spt năm để thí sinh ôn tập,trường đại_học sư_phạm hà_nội hnue công_bố đề tham_khảo và đáp_án môn thi đánh_giá năng_lực spt năm để thí_sinh ôn_tập
